,Method,Backbone,Data Augmentation,Generalization Gap,Robustness,Memorization,Rationality,Theorem II bound,RRM bound,Test Performance
19,mocov2,resnet18,True,-7.3507333333333404,0.06820000000000448,0.21477134564337064,0.0,3.4699251944824225,0.2829713456433751,67.19000000000001
25,mocov2,wide_resnet50_2,True,-6.371866666666674,0.18030833333332907,1.0267290616358409,0.0,7.632504791569697,1.20703739496917,70.99333333333334
16,mocov2,resnet101,True,-6.0133333333333345,0.15289166666665466,0.7067044570626351,0.0,6.377163003422487,0.8595961237292897,68.57666666666667
22,mocov2,resnet50,True,-5.381000000000005,0.18987500000000068,0.8369437976747491,0.0,6.986381430641914,1.0268187976747498,69.68333333333334
1,simclr,resnet50,True,-2.8862666666666663,0.304940000000002,0.5456918407298161,0.0,6.634170153775959,0.8506318407298181,91.95666666666666
4,amdim,resnet101,True,-0.9086000000000022,0.6421333333333408,3.69868159081544,0.0,25.993150938866503,4.340814924148781,63.56333333333333
7,amdim,resnet18,True,0.3314000000000021,0.2295750000000112,1.1483864822916559,0.0,8.660544995501894,1.377961482291667,62.84333333333333
18,mocov2,resnet18,False,1.4253333333333371,0.15025000000001398,1.2433088297269848,0.03177450360632861,14.144346030074308,1.4253333333333273,67.59666666666666
27,simclr,resnet18,False,1.4339999999999928,0.2830476190476219,0.7912999855168863,0.3596523954354893,13.349843853850269,1.4339999999999975,82.49666666666667
13,amdim,wide_resnet50_2,True,1.6005333333333265,0.6854231884057782,2.4625252774725226,0.0,19.200016780851925,3.147948465878301,64.38333333333334
0,simclr,resnet50,False,1.974000000000004,0.21583333333333599,0.7844710862860467,0.9736955803806211,15.745243384327086,1.9740000000000038,92.00333333333332
28,simclr,resnet50,False,2.24,0.519999999999996,1.7117567178373179,0.008243282162666787,19.532210465756826,2.2399999999999807,84.94333333333334
21,mocov2,resnet50,False,2.718666666666669,0.29608333333331416,2.9641036032952996,0.0,24.181310645577664,3.260186936628614,70.08666666666666
15,mocov2,resnet101,False,2.821333333333333,0.3295000000000101,3.032189595964809,0.0,22.779988209447016,3.361689595964819,69.08
24,mocov2,wide_resnet50_2,False,3.106666666666664,0.384916666666669,2.791696871575226,0.0,22.386794186367634,3.176613538241895,70.8433333333333
10,amdim,resnet50_bn,True,3.6930666666666623,0.8372333333333302,4.222281853474897,0.0,31.11956195860186,5.059515186808227,66.44000000000001
6,amdim,resnet18,False,4.338000000000001,0.4226666666666574,4.581043782574234,0.0,33.47043325151789,5.0037104492408915,62.28
1,amdim,amdim_encoder,True,4.429999999999997,0.6821999999999662,0.35642677598109174,3.3913732240189205,10.323196277365952,4.429999999999978,87.32666666666668
0,amdim,amdim_encoder,False,6.681999999999998,2.0763492063492066,5.688699722804685,0.0,70.51672013198083,7.765048929153892,87.38
3,amdim,resnet101,False,12.457999999999984,1.2208333333333172,14.264407795249433,0.0,100.0,15.48524112858275,62.43000000000001
12,amdim,wide_resnet50_2,False,13.070666666666668,1.6987500000000466,15.327214932413725,0.0,100.0,17.02596493241377,63.80333333333334
9,amdim,resnet50_bn,False,14.731333333333325,1.809749999999994,16.62507388027037,0.0,100.0,18.434823880270365,66.28333333333335
